Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:stage.process:model.layers.11.self_attn.v_proj,PushPop,3090548474,3105375443,1,3090548474.0,3090548474.0,3090548474,3090548474,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.10.self_attn.k_proj,PushPop,3078505952,3092825822,1,3078505952.0,3078505952.0,3078505952,3078505952,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.13.self_attn.k_proj,PushPop,3068878490,3084862430,1,3068878490.0,3068878490.0,3068878490,3068878490,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.15.self_attn.v_proj,PushPop,3056925277,3071363660,1,3056925277.0,3056925277.0,3056925277,3056925277,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.14.self_attn.k_proj,PushPop,3056482954,3073616362,1,3056482954.0,3056482954.0,3056482954,3056482954,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.15.self_attn.k_proj,PushPop,3056236889,3070800066,1,3056236889.0,3056236889.0,3056236889,3056236889,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.3.self_attn.k_proj,PushPop,3054496750,3069218925,1,3054496750.0,3054496750.0,3054496750,3054496750,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.6.self_attn.v_proj,PushPop,3051013202,3065675313,1,3051013202.0,3051013202.0,3051013202,3051013202,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.7.self_attn.v_proj,PushPop,3048272660,3062941754,1,3048272660.0,3048272660.0,3048272660,3048272660,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.8.self_attn.k_proj,PushPop,3046564932,3061859843,1,3046564932.0,3046564932.0,3046564932,3046564932,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.11.self_attn.k_proj,PushPop,3044453085,3060232662,1,3044453085.0,3044453085.0,3044453085,3044453085,0.0,58074,58074.0,0.0,1148.0
